Brand,Category,Size,Item Name,Price,Imagekit URL
Alo Fruit,Drinks,200ml,Mixed Fruit,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Mixed%20Fruit.webp?updatedAt=1762600882203
Alo Fruit,Drinks,200ml,Orange,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Orange.webp?updatedAt=1762600882530
Alo Fruit,Drinks,200ml,Mango,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Mango.webp?updatedAt=1762600882543
Alo Fruit,Drinks,200ml,Litchi,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Litchi.webp?updatedAt=1762600882226
Alo Fruit,Drinks,200ml,Pineapple,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Pineapple.jpeg?updatedAt=1762600882095
Monster,Drinks Can,500ml,Monster White ,125,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Monster/Monster%20White.webp?updatedAt=1762602868458
Monster,Drinks Can,500ml,Monster Orignal,125,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Monster/Monster%20Orignal.jpg?updatedAt=1762602868347
Prolyte,Drinks,200ml,ORS Nimbu Paani,31,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Prolyte/ORS%20Nimbu%20Paani.avif?updatedAt=1762600882596
Prolyte,Drinks,200ml,ORS Orange Flavour,31,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Prolyte/ORS%20Orange%20Flavour.webp?updatedAt=1762600882578
Prolyte,Drinks,200ml,ORS Apple Flavour,31,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Prolyte/ORS%20Apple%20Flavour.avif?updatedAt=1762600882601
Appy,Drinks,250ml,Fizz,20,
Amul,Milk Drink,200ml,Masti Spced Buttermilk,15,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Amul/Masti%20Spced%20Buttermilk.avif?updatedAt=1762600687841
Amul,Milk Drink,200ml,Lassi,25,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Amul/Lassi.webp?updatedAt=1762600688008
Amul,Milk Drink,180ml,Kool Gold Premium Kesar,30,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Amul/Kool%20Gold%20Premium%20Kesar.webp?updatedAt=1762600687818
Amul,Milk Drink,180ml,Kool Café,30,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Amul/Kool%20Cafe%CC%81.webp?updatedAt=1762600687986
Amul,Milk Drink,180ml,Kool Gold Royal Elaichi,30,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Amul/Kool%20Gold%20Royal%20Elaichi.webp?updatedAt=1762600688035
Amul,Milk Drink,250ml,Lactose Free Milk,25,https://ik.imagekit.io/foodclub/Grocery/Products/dairy/Amul/Lactose%20Free%20Milk.webp?updatedAt=1762600687921
